Name, CEA, FSA, FSR, FSE, BA, AC, ROP, ACT, DEP, BAD, EFR, EFRC
"Sandlewood Townhomes (TEST)","1990-01-01","11,000","1990-01-01","1990-01-01","2006-05-22","1990-01-01","1990-01-01","1990-01-01","2006-05-25","1990-01-01","11,000","1990-01-01"
"Commerce Bank - Manheim Pike","2006-04-28","6765.00","2006-06-09","2007-06-05","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200","2006-11-22"
"Penn Cinema","2006-04-28","23595","2006-05-26","2007-05-25","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1000","1990-01-01"
"Arbors at Spring Valley","2006-05-09","89925.00","2006-06-13","2007-06-30","2006-06-22","2006-06-12","1990-01-01","2006-06-12","2006-06-12","2006-06-22","1500.00","2006-06-12"
"Kissinger Subdivision","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2007-11-05","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Carrington Subdivision","2006-08-07","39716.00","2006-08-17","2007-08-16","2006-08-17","2006-08-07","2006-08-18","2006-08-07","2006-08-07","2006-09-28","2000","2006-08-17"
"Diller Tract","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Worthington (Rockview) Subdivision - Residential","2008-07-10","768688.00","2008-08-22","2009-09-01","2008-08-20","2008-06-30","2008-02-06","2008-06-30","2008-06-30","2008-08-28","11000.00","2008-06-30"
"Chatsworth","2007-12-11","135300.00","2008-01-16","1990-01-01","2008-01-15","2008-01-15","2008-01-17","2008-01-16","2008-01-16","2008-01-24","1500.00","2008-01-15"
"Stone Mill Estates (Bridle Estates)","2006-10-11","228936.15","2007-07-05","1990-01-01","2007-09-18","2006-10-17","2007-09-21","2006-06-26","2006-10-17","2007-09-27","2000 + 1000","2006-10-17"
"Manor Oaks Lot 146","2006-09-11","34001.00","2007-02-15","1990-01-01","2006-10-03","1990-01-01","1990-01-01","2006-09-11","2006-09-11","2007-06-28","1000","2006-09-11"
"Eagles View 1B","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Wetherburn Commons","2006-06-14","390500","2006-11-03","1990-01-01","2006-06-19","2006-06-16","1990-01-01","2006-06-16","2006-06-16","2006-11-16","7000","2006-06-16"
"Southern Village Phase 1","2005-07-26",,"1990-01-01","1990-01-01","2005-05-26","1990-01-01","2006-01-23","2005-05-25","2005-05-25","2005-05-26","2500","2005-05-24"
"SIM Properites","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-02-24","1990-01-01","200","2006-06-19"
"Winchelsea (Hynicka Tract)","2007-06-28","158400.00","2007-06-28","2008-06-28","2007-06-28","2007-07-18","2007-07-18","2007-06-28","2007-06-28","2007-07-26","2000.00","2007-06-28"
"Al Hamiltion Family LP 2","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-10-09","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Timson Place","2006-05-26","47766.00","2007-04-04","2008-04-03","2007-03-01","2007-02-26","2006-03-16","2007-03-07","2007-03-08","2007-03-22","1000.00","2007-03-01"
"D.A.D. Enterprises, Inc.","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","300","2006-05-25"
"Abel Drive Lot 8   (3912)","2006-07-05","9000","2006-07-14","2007-07-14","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200","2006-07-17"
"Brethren Villiage- Village Garden Apartments II","2006-01-20","29993","2006-03-20","2007-03-16","2006-01-20","1990-01-01","1990-01-01","1990-01-01","2005-10-13","2006-03-23","1000","2006-01-20"
"Fruitville Business Park Subdivision","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1500.00","1990-01-01"
"Parkfield - Phase 1","1990-01-01",,"1990-01-01","1990-01-01","2003-10-01","2003-11-06","1990-01-01","2003-10-16","2003-10-16","2006-10-23","3500","2003-10-16"
"Mews at Homestead","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Village Grande @ Millers Run","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Brighton Commercial","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200.00","2005-06-23"
"Penns Crossing","1990-01-01",,"1990-01-01","1990-01-01","2005-01-24","1990-01-01","1990-01-01","1990-01-01","1990-01-01","2005-01-27","4000.00","2005-01-24"
"Farm on Quarry Road","2005-09-22","241065","2005-10-03","1990-01-01","2005-09-22","2005-09-22","1990-01-01","2005-09-22","2005-09-22","2005-09-22","4000","2005-09-22"
"Chaddsford Estates","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Millstone Village (Hershey Mill East)","2005-07-08","89954.00","2005-07-21","2008-07-22","2005-07-25","2005-06-20","2005-06-20","2005-06-20","2005-06-20","2005-07-28","1500.00","2005-06-20"
"Manor Heights","2005-08-12","2073352","2005-08-12","1990-01-01","2005-09-22","1990-01-01","1990-01-01","1990-01-01","2005-08-12","2005-09-22","3500","2005-08-12"
"Landis Estates","1990-01-01","36770.25","2005-08-24","2006-08-25","2005-08-25","2005-08-18","2005-09-23","1990-01-01","1990-01-01","2005-08-25","1000","2005-04-05"
"Porter Tract (Meadow Run)","1990-01-01",,"1990-01-01","1990-01-01","2005-04-28","1990-01-01","2005-06-20","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Windemere Place","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Woods Edge","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Twin Oaks Hollow","1990-01-01",,"1990-01-01","1990-01-01","2005-01-20","1990-01-01","1990-01-01","1990-01-01","1990-01-01","2005-01-27","2000","2005-01-20"
"Windsor Court","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Sunset Ridge 1","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Rosewood",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL
"Manor Oaks Remaining Lands Section 3","2005-09-15","9105.53","2005-09-15","2006-09-15","2005-12-22","2005-12-22","1990-01-01","2005-12-22","2005-12-22","2006-01-26","1000","2005-12-22"
"Westwood Green","1990-01-01",,"1990-01-01","1990-01-01","2004-02-27","1990-01-01","1990-01-01","1990-01-01","1990-01-01","2004-03-25","1500.00","2004-03-09"
"Union Nation Bank- Gold Cafe","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"DH Funk Lot 1","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Woods Edge Villas at Sutherland","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Rental Service Corporation","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","2005-12-27","1990-01-01","200.00","2006-05-05"
"Brethren Village-Fieldcrest Cottages Phase III","2006-06-06","102245","2006-06-14","2007-07-13","1990-01-01","2006-06-15","1990-01-01","1990-01-01","1990-01-01","1990-01-01","2500","2006-06-13"
"Stonemill Estates","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","2000.00","2008-02-19"
"Eastland Land Development Subdivision","2005-11-14","20,744.90","2006-01-13","2006-12-20","2006-01-13","2006-01-13","2006-01-13","1990-01-01","2006-01-13","2006-01-26","1,000","2006-01-13"
"Del Boca Vista","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2008-03-04","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Manor Blvd. Subdivision","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1000","1990-01-01"
"Knight, Bernice","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-05-26","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Penn Manor Comet Field","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-07-26","1990-01-01","1990-01-01","1990-01-01","200","2004-07-06"
"Noll Drive Associates","2006-01-23","36536","1990-01-01","1990-01-01","2006-01-23","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","750","2006-01-23"
"Bantam Lane","2007-04-10","28,105.00","2007-04-17","2008-04-16","2007-03-23","2007-04-04","2007-04-02","2007-04-02","2007-04-02","2007-04-26","1000.00","2007-03-23"
"Kline&#039s Services, Inc. - Residual Bldg.","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Page, Dave & Cindy","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-06-15","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Boshnaugle, Donald 202 Sylvan Retreat Road","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Hess 3868 Columbia Avenue - Commercial","2006-06-12","3355.00","2006-10-26","2007-10-24","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200.00","2006-11-09"
"Jung, Gary A. - Lot Sub. - Stonehenge Dr.","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Southern Village Phase 2","2006-06-20","N/A","1990-01-01","1990-01-01","2006-06-12","2006-06-12","2006-06-22","2006-06-22","2006-06-22","2006-07-27","2000","2006-06-12"
"Edington Place formerly Honeysuckle Lane Subdivision","2006-11-06","0.00","1990-01-01","1990-01-01","2007-04-26","2007-04-26","1990-01-01","1990-01-01","2007-04-12","2007-04-26","2200.00","2007-02-22"
"Rettew - 3020 Associates Addition","2011-01-20","4369.75","2011-01-20","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","300.00","2011-01-20"
"It&#039s A Grind Coffee Shop","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Lausch Lane Lot 2","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200","2006-07-25"
"Landings at Eagle Heights (Final Ph)","2007-01-25","900.00","2007-01-25","1990-01-01","2007-01-18","2007-01-18","1990-01-01","2007-01-22","2006-11-22","2007-02-22","1500.00","2007-01-18"
"Hershey Mill Manor (Hershey Mill West)","2005-07-21","35562.00","2005-07-21","2008-07-22","2005-09-22","2005-06-20","2005-06-20","1990-01-01","2004-11-12","2005-09-22","1500.00","2005-06-20"
"Cedar Chase","1990-01-01",,"1990-01-01","1990-01-01","2005-07-19","1990-01-01","2005-07-19","1990-01-01","2005-05-17","2005-07-28","1500","2005-07-19"
"Lancaster Toyota Mazda Collision Center","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Eagle Heights","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","2003-03-12","1990-01-01","1990-01-01","1990-01-01","1990-01-01","6,000.00","2003-03-07"
"MISCELLANEOUS PROJECT PERMITS","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Cibo Pizza and Grille","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Lancaster General  Campus W&B and Rehab Hospital","1990-01-01","43329.00","2006-09-19","2007-08-24","1990-01-01","2006-08-23","1990-01-01","1990-01-01","1990-01-01","1990-01-01","500","2006-09-19"
"Lancaster General Campus Ambulatory Surgery Center","1990-01-01","16368.00","2006-09-19","1990-01-01","1990-01-01","1990-01-01","2006-08-23","1990-01-01","1990-01-01","1990-01-01","500","2006-09-19"
"Kissel Hill Commons Phase 3 - Final Phase","2005-09-07","331,881.00","2005-09-09","2006-09-09","2005-09-08","2005-09-08","2005-09-08","2005-09-08","2005-09-08","2005-09-22","4,000","2005-09-07"
"Parkridge","2006-02-15","302,030.00","2006-03-15","2007-03-15","2006-02-15","2006-02-15","2006-02-27","2006-02-15","2006-02-15","2006-03-23","4000.00","2006-02-15"
"Commerce Bank - Golden Triangle","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-02-17","1990-01-01","1990-01-01","1990-01-01","200.00","2006-02-17"
"Homewood Suites","2007-04-25","5775.00","2007-04-24","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","300","2007-04-24"
"Walgreens - Golden Triangle","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","300","2006-07-07"
"65 Meadow Ln","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","2006-07-07","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Jay Group - Stony Battery Corp Center","2006-10-24","19171","2006-11-27","2007-11-22","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200","2006-11-27"
"Treztark II LTD (Stony Battery Commerce Ctr Ph 4)","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","300","1990-01-01"
"Jay Group (Stony Battery Corp Center Lot 11)","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Landale (formerly Landis Tract)","1990-01-01",,"1990-01-01","1990-01-01","2004-08-26","2004-08-06","1990-01-01","2004-08-06","2004-08-06","2004-08-26","2000","2004-08-06"
"Veranda Phase 2 and 3","2005-07-19","42572.55","2005-10-10","2006-08-01","2005-03-15","2005-07-19","1990-01-01","1990-01-01","2005-12-16","2005-03-24","3000","2005-03-15"
"Sunset Ridge 2  (formerly Crescent Ridge / Beiler)","2007-03-15","157630.00","2007-03-15","1990-01-01","2007-03-09","2007-03-08","1990-01-01","1990-01-01","2007-03-08","2007-03-22","3000.00","2007-03-08"
"Kissel Hill Commons - LOT #287 - Commercial","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Triple H Construction","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200","1990-01-01"
"Manor Oaks Phase 1,2,3 and 3A","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Veranda Phase 1","1990-01-01",,"1990-01-01","1990-01-01","2004-02-20","1990-01-01","2004-03-17","1990-01-01","1990-01-01","1990-01-01","4500.00","2004-02-20"
"Pappas-2 lots (Dorsea Rd & Springvalley Rd)","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"NGUYEN  Lot @ 1750 Sammar Rd","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"1896 Millersville Rd Subdivision","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Fanelli, Gary - 12 Druid Circle lot","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Murry South Centerville Road Walmart","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Church of Jesus Christ of Latter-Day Saints","2010-04-22","24988.70","2010-05-13","1990-01-01","1990-01-01","2010-04-22","1990-01-01","1990-01-01","1990-01-01","1990-01-01","750.00","2010-03-12"
"Brod, Roy lot @70 Valley Rd.","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2007-06-25","1990-01-01","1990-01-01","1990-01-01","100.00","2006-09-13"
"Severn Tract","2006-01-06","7430","2005-01-06","1990-01-01","2006-01-06","2006-01-06","2006-01-06","1990-01-01","2006-01-06","2006-01-06","1000","2006-01-06"
"Parkfield - Phase 2","1990-01-01","332000","2007-01-17","2008-01-15","2006-11-03","2006-11-03","1990-01-01","2006-11-03","2006-11-03","2007-01-25","3500","2006-11-03"
"Bethel Commons","2007-03-12","51642","2007-04-19","1990-01-01","2007-03-12","2007-03-12","1990-01-01","2007-03-12","2007-03-12","2007-03-22","750","2007-03-12"
"3050 Yellow Goose Rd - Office","2006-11-21","5394.40","2006-11-21","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200","2006-11-01"
"Hempfield Crossing Phase 1 (formerly Wissler Tract","2007-12-03","131175","2008-01-30","1990-01-01","2008-01-30","2008-01-30","1990-01-01","2008-01-30","2008-01-30","2008-02-28","2000.00","2008-01-30"
"Blossom Hill Mennonite Church","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200.00","2007-04-17"
"DeGeorge lot @ 1790 State St.","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-11-20","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"DeGeorge lot @ 530 Garden Hill Lane","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-11-21","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Fairway Drive Subdivision","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2007-01-12","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Heisey, Michael - Apts @ 686 Bean Hill Rd.","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-12-18","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"1015 Wheaton Dr. lot","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","2006-12-29","1990-01-01","1990-01-01","1990-01-01",,"1990-01-01"
"Tobacco Road Condos","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200.00","1990-01-01"
"Ruby Tuesday Inc.","1990-01-01",,"1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","200.00","1990-01-01"
"Ritas Italian Ice","2007-10-12","5536.30","2007-10-15","1990-01-01","1990-01-01","1990-01-01","1990-01-01","1990-01-01","2007-04-02","1990-01-01","200.00","2007-10-15"
