Name, TOI, IAR, ICR, IED, SFF, DODD, ABR
"Overlook Park Golf Maintenance Bldg","Standard","2009-02-09","2009-02-11","2010-10-01","0","1990-01-01","1990-01-01"
"Moove In Storage",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Alpha Charlie Hangar",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Norfolk Southern Dillerville Yard East @ F&M College","State Road","2013-07-16","2013-07-16","2013-10-01","0","1990-01-01","1990-01-01"
"The Village at Funk&#039s Farm - Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"The Village at Funk&#039s Farm - Commercial",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"West Hempfield Fire & Rescue New Emergency Services Complex","State Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Providence Heights",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"LCSWMA Parcel Remediation Temporary Sewer Connection",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Danz Property @ 311 E. Oregon Rd.","State Road","2008-12-29","2009-01-05","2009-08-01","0","1990-01-01","1990-01-01"
"The Oaks II","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Long, David @ 525 Koser Rd - Septic to Sewer","Township Road","2009-01-15","2009-02-09","2009-10-06","0","1990-01-01","1990-01-01"
"Manheim Township Library",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Stauffer Park New Restroom Facility",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"2363 Oregon Pike","State Road","2010-01-22","2010-01-22","2010-12-31","0","2011-03-02","2011-02-08"
"Lancaster Contact Lens Inc",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Giant Food Store #39 @ Lancaster Shopping Center","State Road","2010-03-30","2010-03-26","2010-07-01","0","1990-01-01","1990-01-01"
"Diller Tract 2009 aka Landon Way Commons","State Road","2011-01-14","2011-01-14","2011-08-01","0","1990-01-01","1990-01-01"
"Prospect Ultra Wash","Standard","2009-08-27","2009-08-27","2010-01-01","0","1990-01-01","1990-01-01"
"D & B PROPERTIES","State Road","2010-03-12","2010-03-12","2011-07-01","0","1990-01-01","2012-08-21"
"Landis Homes - South Campus","Standard","2010-06-14","2011-09-30","2014-10-01","0","1990-01-01","1990-01-01"
"Celebrate Life Christian Church",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Long Community at Highland Phase 1 Bldgs 2 & 3B","Township Road","2010-10-15","2011-09-30","2014-10-01","0","2013-10-04","2013-03-14"
"Crossway Church of Lancaster","Township Road","2011-09-02","2012-07-05","2014-07-01","0","1990-01-01","2012-06-22"
"Cox - Detached Garage Bathroom","State Road","2009-04-13","2009-04-01","2010-03-15","0","1990-01-01","1990-01-01"
"Moore Business Park Existing Bldg Septic to Sewer",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Shakespeare Enterprises Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Village Commons","Standard","2009-07-28","2009-07-21","2010-01-01","0","1990-01-01","2010-05-18"
"Campus Plaza LLC","Standard","2009-10-23","2009-10-21","2010-10-06","0","1990-01-01","1990-01-01"
"Mennonite Disaster Service","State Road","2010-03-12","2010-03-12","2011-07-01","0","1990-01-01","2012-08-21"
"Country Manor Apartments","Township Road","2010-03-15","2010-03-16","2010-10-01","0","2010-09-27","2010-08-12"
"1500 Sunset Ave Lancaster Dave Costello Lot","Township Road","2009-08-14","2009-08-14","2010-08-01","0","1990-01-01","1990-01-01"
"Homestead Village Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Centerville Square - Edward Jones Store",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brethren Village Business Center Lot 2",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Stadel Volvo expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Golden Meadows Park",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Luong Residence - Hess Blvd.","Township Road","2009-10-07","2009-10-07","2010-04-20","0","1990-01-01","1990-01-01"
"26 Hess Blvd - Dave Costello lot","Township Road","2009-08-25","2009-08-25","2010-08-01","0","1990-01-01","1990-01-01"
"Eden Resort Inn & Suites - Club Suite #6",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Ponessa Medical Massage Center",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lancaster Toyota Mazda Subdivision","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Central Manor Elementary School additions",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Fulton Bank at Granite Run - Demo & Rebuild","Standard","2010-09-14","2010-09-27","2010-11-01","0","1990-01-01","1990-01-01"
"Hogan & Herr Bldrs / 152 Buch Ave Lot Subdivide","Township Road","2013-06-10","2013-05-29","2014-06-03","0","1990-01-01","1990-01-01"
"638 Bean Hill Rd Lot - Kauffman","Township Road","1990-01-01","2009-11-20","2010-04-25","0","1990-01-01","1990-01-01"
"Dunkin Donuts - East Petersburg",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Grandview Subdivision Phase 1","Standard","2013-01-10","2012-10-03","2014-10-01","0","1990-01-01","1990-01-01"
"Millers Greenhouses - Septic to Sewer","State Road","2010-01-15","2010-01-15","2010-04-01","0","1990-01-01","1990-01-01"
"Integrity Bank - 1683 Oregon Pike Site",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Snyder Funeral Home - Building Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Diener Lot - 12 Spruce Rd Mountville","Township Road","2010-02-02","2010-02-02","2014-07-01","0","1990-01-01","1990-01-01"
"State Farm Office Bldg Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Secker, Andrew property","Township Road","2010-03-12","2010-03-12","2011-07-01","0","1990-01-01","2012-08-21"
"Spring Haven - New Plan 2010","Township Road","2010-09-10","2010-09-14","2011-11-05","0","2011-11-29","2011-05-27"
"Integrity Gas Station @ existing car wash","N/A","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Integrity Bank @ existing gas station","Standard","2010-07-27","2010-07-27","2012-10-01","0","1990-01-01","1990-01-01"
"Manheim Twp School District Landis Run Intermediate School (formerly called 5&6 grade bldg)","Standard","2011-01-21","2011-01-21","2013-07-01","0","1990-01-01","1990-01-01"
"Burkkolder, Al - 707 Petersburg Rd - Septic to Sewer","Standard","2010-07-19","2010-07-19","2012-07-01","0","1990-01-01","1990-01-01"
"Metro Bank Airport Rd c/o Brethren Village","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Penn Cinema Management Co. - Addition-IMAX",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brooklawn Subdivision - PHASE 1","Standard","2013-01-11","2013-01-11","2013-10-01","0","2014-04-29","2013-06-18"
"Forrys Country Store Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Elmwood Partners Ltd Subdivision",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"1514 Sunset Ave Lancaster Lot Hogan Residential","Township Road","2010-04-06","2010-03-23","2010-08-24","0","1990-01-01","1990-01-01"
"Goss, Jeff 1717 Marietta Ave Septic to Sewer","Township Road","2010-04-01","2010-04-06","2010-04-14","0","1990-01-01","1990-01-01"
"Summit Hills Lot 153 Section 4 Revised","Township Road","2010-04-01","2010-04-01","2010-10-01","0","1990-01-01","1990-01-01"
"Diffenderfer Family Trust 3558-3560 Marietta Ave Apts - septic to sewer",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Faulkner BMW","Standard","2010-08-10","2011-01-06","2011-12-31","0","1990-01-01","1990-01-01"
"Yellow Freight Site - Rohrerstown Rd","Township Road","2010-06-21","2010-06-21","2010-10-06","0","1990-01-01","1990-01-01"
"St. Anne&#039s Retirement Community",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Kleinsasser Subdivision - 1164 Erbs Quarry Rd","Standard","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Kline&#039s Services, Inc. -  Office Relocation",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Sycamore Builders - lot @ 915 Shreiner Ave","Township Road","2011-05-17","2011-05-17","2012-03-18","0","1990-01-01","1990-01-01"
"351 Richardson LP Site Improvements",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"391 Apple Lane Lot","Standard","2010-10-21","2010-10-25","2011-08-24","0","1990-01-01","1990-01-01"
"Millwood Homes lot @ 2323 Louxmont Dr","Township Road","2010-07-30","2010-07-28","2011-04-04","0","1990-01-01","1990-01-01"
"Millwood Homes lot @ 50 Ginko Ct","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"PPL Lancaster Washbay Addition",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Veranda Phase 4","Standard","2011-02-09","2011-10-03","2014-10-01","0","1990-01-01","1990-01-01"
"Rybner, Jacob Lot @ 231 Old Delp Rd","Township Road","2011-02-11","2011-03-14","2011-09-29","0","1990-01-01","1990-01-01"
"Five Guys - Centerville Shopping Ctr",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Root&#039s Country Market & Auction, Inc.",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Letort Manor & Perth Hills Permitting",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Belfiglio Subdivision","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Charlotte St Single Lot","Township Road","2010-12-14","2010-12-15","2011-12-30","0","1990-01-01","1990-01-01"
"Charlotte St Subdivision","Township Road","2013-07-24","2013-07-24","2013-11-10","0","1990-01-01","1990-01-01"
"Manor Township CROSSGATES Permitting NOT LASA OWNED",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lancaster Bible College North Campus PHASE 2A",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hempfield School District Farmdale School Redo","Standard","2012-04-20","2012-04-20","2012-10-06","0","1990-01-01","1990-01-01"
"Hempfield School District Landisville Intermediate Center - NEW","State Road","2011-07-19","2011-12-30","2013-01-01","0","1990-01-01","1990-01-01"
"Diffenderfer Family Trust Subdivision",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lancaster County Morgue","Standard","2011-11-29","2011-11-29","2012-02-01","0","1990-01-01","1990-01-01"
"Heagy Inc. Richard - Warehouse Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Genesys Controls",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"2714 Brookfield Rd Lot","Township Road","2011-03-31","2011-04-13","2014-03-21","0","1990-01-01","1990-01-01"
"Lancaster Toyota New Service Center","Township Road","2011-07-21","2012-07-05","2013-07-01","0","1990-01-01","1990-01-01"
"Oral and Maxillofacial Surgery Renovation",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Superior Homes - 1731 Temple Ave Lot","Township Road","2011-04-21","2011-04-27","2011-08-17","0","1990-01-01","1990-01-01"
"Wenger&#039s Construction 156 Stony Battery Rd lot","Township Road","2011-05-04","2011-05-04","2011-09-11","0","1990-01-01","1990-01-01"
"Clutch & Go Automatic Transmissions","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"630 Valley Road","N/A","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"LGH - Ann B Barshinger Cancer Center",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"5922 Pine St rear","Township Road","2011-06-21","2011-06-21","2011-07-01","0","1990-01-01","1990-01-01"
"Adorers of the Blood of Christ US Region","Standard","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Southern Village Phase 3A","Standard","2011-09-06","2014-06-27","2014-10-01","0","1990-01-01","1990-01-01"
"Cedar Oregon Pike LLC","State Road","2012-05-23","2012-05-23","2012-07-01","0","2013-05-01","2013-03-15"
"Stonehenge Reserve PHASE 2","Standard","2011-11-16","2011-11-16","2012-03-31","0","2013-11-26","2012-07-12"
"Richter Precision Inc.",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Blackford Development - 4010 & 4015 Columbia Ave",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Members 1st Federal Credit Union",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Long Community at Highland Phase 2",,"1990-01-01","1990-01-01","1990-01-01","0","2013-10-04","2013-03-14"
"Torchia, Michael sewer extension (Old Blue Rock Rd)","State Road","2012-04-11","2012-04-18","2013-01-01","0","2013-04-03","2012-09-20"
"5100 Main Realty Subdivision Lot 1 and 2","Standard","2012-06-15","2012-06-15","2013-03-30","0","1990-01-01","1990-01-01"
"66 Keller Avenue Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Landis Trucking Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hempfield School District  New East Petersburg Elementary","State Road","2012-04-17","2012-04-17","2012-10-01","0","1990-01-01","1990-01-01"
"Manheim Twp School Dist - Blue Streak Pavillion Facilities",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hess Tract",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"1989 Sterling Place Lot","Township Road","2011-11-03","2011-11-03","2012-04-06","0","1990-01-01","1990-01-01"
"State Road Commerce Park",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Y & S Candies Inc - Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Long Community at Highland Phase 3",,"1990-01-01","1990-01-01","1990-01-01","0","2013-10-04","2013-03-14"
"1556 Euclid Dr Lancaster Dave Costello Lot","Standard","2011-10-20","2011-10-20","2012-09-01","0","1990-01-01","1990-01-01"
"231 Hess Blvd Lancaster Dave Costello Lot","Standard","2011-10-20","2011-10-20","2012-09-01","0","1990-01-01","1990-01-01"
"176 Chestnut St Jay Smith Lot","Township Road","2011-10-25","2011-10-25","2012-07-01","0","1990-01-01","1990-01-01"
"Historic Stoner House",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"CVS/ Centerville Square Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Westminster Presbyterian Church - Connection Relocate","Standard","2012-02-09","2012-07-05","2014-07-01","0","1990-01-01","1990-01-01"
"Norton, Jim L. II properties 2834 and 2910 Columbia Ave",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"2791 Southwick Dr. - Jon Warner Homes lot","Standard","2014-06-02","2014-06-02","2014-08-24","0","1990-01-01","1990-01-01"
"Kauffman, Ben E & Robin M Subdivision","State Road","2013-12-18","2012-07-05","2015-07-01","0","1990-01-01","1990-01-01"
"Grace United Methodist Church","Township Road","2012-06-12","2012-07-05","2014-07-01","0","1990-01-01","1990-01-01"
"1500 Stony Battery Rd - Convert to Apartments",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"E. R. Martin School Rebuild - Honeysuckle Force Main",,"2012-10-22","2012-10-22","2013-01-01","0","2014-01-29","2014-01-10"
"Paccar Inc. Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Enterprise Rent-A-Car Washbay Addition",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Sheetz Inc - 4010 Columbia Avenue",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Milton Estates",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"122 Fordney Road- Jay Stoltzfus",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Sylvan View Phase 1","Township Road","2013-02-05","2013-02-05","2013-10-06","0","1990-01-01","1990-01-01"
"Hambright Elementary School",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Autohaus Lancaster - Porsche Showroom",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Blessed John XXII Religious Education Center","Standard","2013-06-17","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Calvary Fellowship Homes Lot Consolidation","Standard","1990-01-01","2013-01-25","2014-03-15","0","1990-01-01","1990-01-01"
"Hunger-N-Thirst","Township Road","2012-08-22","2013-04-12","2014-04-12","0","1990-01-01","1990-01-01"
"Stone House Place","Standard","2013-03-11","2013-03-11","2013-08-01","0","2013-11-26","2013-10-31"
"Fern Hill Ventures LP - 601 S. Sixteenth St.",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Alcoa/ Alumax Mill Products Truck Scale","Standard","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Rutter&#039s Farm Store #23 - US 30 & Stony Battery Rd","Township Road","2013-03-05","2013-03-05","2013-12-23","0","1990-01-01","1990-01-01"
"Overlook Town Center - mixed use - Commercial","State Road","2013-06-11","2013-07-17","2013-10-06","0","1990-01-01","1990-01-01"
"Overlook Town Center - mixed use - Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Landis Valley Sewer Extension Permitting",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"141 Sunrise Ave - Kenneth Homes lot","Township Road","2012-11-05","2012-11-15","2013-09-17","0","1990-01-01","1990-01-01"
"Regency Square Lot 19",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"340 Roseville Road West","Township Road","2012-12-19","2012-12-19","2015-07-01","0","1990-01-01","1990-01-01"
"Landis Farm",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"David Charles Tract subdivision in Manor Twp","Township Road","2013-03-28","2013-04-17","2014-06-30","0","1990-01-01","1990-01-01"
"Echo Valley Ln Lot","Standard","2013-09-23","2013-09-23","2014-08-01","0","1990-01-01","1990-01-01"
"Spooky Nook Sports","Standard","2013-07-19","2013-07-17","2014-05-01","0","1990-01-01","1990-01-01"
"Lime Springs Farm","Standard","2014-06-09","2014-05-29","2015-05-01","0","1990-01-01","1990-01-01"
"Village Commons - Redo","Standard","2014-03-04","2014-03-04","2014-09-01","0","1990-01-01","1990-01-01"
"1611 Oregon Pike - lot subdivision",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Carper, Kenneth L. Sr. - 2 Regal Alley & 4 Regal Alley - NOW Ironstone Homes Lots","Township Road","2014-06-04","2014-06-10","2015-03-01","0","1990-01-01","1990-01-01"
"Grandview Subdivision Phase 2",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Eden Resort 3rd Floor Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lancaster Airport Authority Ambulance/ Balloonport Bldg",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"All Size Corrugated - New Bldg",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Stonehenge Reserve PHASE 3","Standard","2013-06-14","2013-06-14","2015-07-01","0","2014-05-27","2014-04-10"
"Pop-It Graphics",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"WEE CARE DAY SCHOOL (formerly East Pete Daycare Ctr)",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"396 Buch Ave - Ironstone Homes LLC","Township Road","2013-06-14","2013-06-14","2014-02-17","0","1990-01-01","1990-01-01"
"Essex Court","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hempfield School District Landisville Education Center - LEC","State Road","2013-09-18","2013-09-18","2014-08-01","0","1990-01-01","1990-01-01"
"1149 Aquilla Dr - Ironstone Homes LLC","Township Road","2013-05-20","2013-05-20","2014-02-17","0","1990-01-01","1990-01-01"
"East Petersburg Boro - Nitrate Plant","Standard","2013-08-05","2013-08-14","2014-08-24","0","1990-01-01","1990-01-01"
"FERN LN Subdivision - Pete Alecxih","Standard","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"HILLCREST AVE Subdivision - Pete Alecxih",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Manheim Twp School Dist - Maintenance Bldg",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Quattro Development LLC","Standard","2014-05-12","2014-05-13","2014-11-05","0","1990-01-01","1990-01-01"
"Brunswick Farms Apartments",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hahn Farming Enterprises 3 Lot Subdivision","State Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Turkey Hill Prospect Rd Renovation",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brethren Village Fieldcrest Cottages 13 IDU&#039s",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Grandview Center - mixed use","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lime Springs Farm - QBP - Quality Bicycle Products","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Herman, Donald & Jacquelyn subdivision 1059 Sylvan Rd",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Benecon","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Perate lot - 1246 Harrisburg Pk",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Landis Valley LP 2660 Oregon Pk residence septic to sewer","State Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Park City Apartments",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Manheim Twp School Dist - Neffsville IU 13",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hillcrest Ave Lot - C&F Inc (Fabio Pini) 1526 Hillcrest Ave","Township Road","2014-03-10","2014-01-29","2015-01-01","0","1990-01-01","1990-01-01"
"Neurology & Stroke Assocs. - MRI Addition",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Woods Edge Ph 2 Sect 4 Subdivision Plan REVISION",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lancaster Bible College - New Academic Bldg",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Historic Stone House Moving Project - Mark Ashley","Standard","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"543 Champ Blvd. - Hotel  (Toews)","State Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Landis Homes South Campus Expand 2014",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"St. Anne&#039s Retirement Community Expand. 2014",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"1101 Central Manor Rd (septic to sewer)","Standard","2014-06-13","2014-06-17","2015-06-03","0","1990-01-01","1990-01-01"
"Mohn lot subdivide @ 1431 Hunsecker Rd","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Settlements East","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"VOID - duplicate Existing Log #13-813",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Fairmont Subdivision Phase 1","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Stone Fence",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Moove In Partners 741 LP (septic to sewer)",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lancaster Country Day School Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"J&S Property - 101 W Main St Salunga",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hess Home Bldrs Lot - 708 Tusitala Drive","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lancaster Bible College - New Residence Hall",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
