DID,D_Name,D_Street,D_City,D_State,D_Zip,D_Number,D_Contact,SSMA_TimeStamp
3,Smith Developing (TEST),123 Main Street,Lancaster,PA,17602,717-555-1212,"John Smith,Barb Smith",
10,Commerce Bank,3801 Paxton Street,Harrisburg,PA,17111,717-920-1740,Larry Lugaro,
11,"Penn Cinema Management Company, LLC",541 Airport Road,Lititz,PA,17543,717-626-7720,Penn Ketchem,
12,First Neighborhood LLC (MillField Construction),2130 Marietta Pike,Lancaster,PA,17603,717-293-0293,Robert Riahi,
13,"D.R. Horton, Inc. dba SGS Communities",20 Gibson Place,Freehold,NJ,7728,732-577-1800,Mitchell Newman,
14,"Homestead Village, Inc.",1800 Village Circle,Lancaster,PA,17604,717-397-4831,Doug Motter,
15,Millfield Construction Co.,2130 Marietta Ave.,Lancaster PO Box 6370,PA,17607,717-293-0293,G. Robert Riahi,
16,"Hogan, Herr,Wolf-Moul Group","1525 Oregon Pike, Suite 1202",Lancaster,PA,17601,717-293-1008,Barry D. Hogan,
17,"Charles & Kicera, Inc.",26 Millersville Road,Lancaster,PA,17603,717-299-2100,David Charles,
18,New Generation LLC,"616 Paxton Pl, Ste 100",Lititz,PA,17543,717-560-6540,"John Hogan, Barry Hogan",
19,Simeral Construction Co.,129 West Airport Road,Lititz,PA,17543,717-560-5992,Andy Lehman,
20,Hempfield Valley Partnership,114 Foxshire Drive,Lancaster,PA,17601,717-560-1400,Robert P. Bowman,
21,"Cedar Chase, LLC","2137 Embassy Drive, Ste 210",Lancaster,PA,17603,717-390-3080,Stephen J. Artz,
22,Willis & Rhoda Kilheffer,1280 Stevens Street,Manheim,PA,17545,717-898-8133,Willis Kilheffer,
23,Oak Hill Partners,2547 Lititz Pike,Lancaster,PA,17601,717-299-4885,Randy Hess,
24,MBI Development Co.,1100 Pennsylvania Ave. Suite 700,Wilmington,DE,19806,302-547-4656,John Randolph,
25,2882 Kissel Hill Partnership,"25 North Queen Street, Suite 602",Lancaster,PA,17608,717-399-6628,Gary Melchioni,
26,"Meadow Run Real Estate Devlopment, LLC","1525 Oregon Pike, Suite 1202",Lancaster,PA,17601,717-293-1008,John A. Hogan,
27,"FLM Development Co., Inc.",805 Estelle Drive Suite 214,Lancaster,PA,17601,717-898-2472,Frank J. Provanzo,
28,Murry Development Corp.,1899 Lititz Pike,Lancaster,PA,17601,717-569-0495,Bill Murry,
29,Engle & Hambright Real Estate,2122 Marietta Ave.,Lancaster,PA,17603,717-291-1041,Scott Ulrich,
30,Wellington Construction Co.,3 Whipporwill Drive,Lancaster,PA,17603,717-872-6401,Nate Pipitone,
31,Beiler Home Builders,1096 May Post Office Road,Quarryville,PA,17566,717-786-4987,Sam Beiler,
32,N & R Inc.,325 Ludwell Drive,Lancaster,PA,17601,717-560-9100,,
33,Manor Oaks General Partnership,111 Centerville Road,Lancaster,PA,17603,717-393-4450,Pete Slaugh,
34,Westwood Green LP,1085 Manheim Pike,Lancaster,PA,17601,717-397-3068,George Desmond,
35,Randal and Valerie Kissinger,370 Sylvan Retreat Road,Columbia,PA,17512,717-449-9590,Valerie Kissinger,
36,Carrington LP,2496 Shaub Road,Lancaster,PA,17601,717-203-2768,Jon Warner,
37,Greystone Construction Inc,2372 Franklin Road,Columbia,PA,17512,717-629-1368,Peter Alecxih Jr,
38,Keystone Custom Homes,227 Granite Run Dr Ste 100,Lancaster,PA,17601,717-464-9060,"Jeff Rutt, Shauna Groff",
39,PW Cambell,109 Zeta Drive,Pittsburgh,PA,15238,800-253-7430,,
40,Donmoyer Development Group,135 Northview Drive,Lancaster,PA,17601,717-569-3009,Brian Donmoyer,
41,"Funk, DH",3950 Continental Drive,Columbia,PA,17512,717-285-4262,Dennis Funk,
42,Scenic Construction,,,PA,,,,
43,Wetherburn North Partnership (Hogan Wolf),1525 Oregon Pike,Lancaster,PA,17601,717-293-1008,Barry Hogan,
44,Hogan Herr Wolf II,"616 Paxton Pl, Ste 100",Lititz,PA,17543,717-560-6540,"Barry Hogan,Dennis Herr",
45,"SIM Properties, LLC",2938 Columbia Avenue Suite 1501,Lancaster,PA,17603,717-290-7780,Delbert Turman,
46,Al Hamilition Family LP 2,1066 Graystone Road,Manheim,PA,17545,717-665-7145,Al Hamilton,
47,Manorvest LLC Dave Charles,26 Millersville Road,Lancaster,PA,17603,717-299-2100,Dave Charles,
48,Brethren Village,"3001 Lititz Pike, PO Box 5093",Lancaster,PA,17606,717-581-4261,"Scott Wissler, Jim Queer, Phil Hollinger 581-4224,Gary Gaissert,None",
49,Bob Lepore,162 E King St,"Lancaster, PA 17602",PA,,717-393-3756,Bob Lepore,
50,"D.A.D. Enterprises, Inc.",917 High Meadows Court,Lancaster,PA,17601,717-898-9711,Art Thomas,
51,Asix LLC,808 Paddington Drive,Lancaster,PA,17601,717-892-6644,,
52,Fieldcrest Associates,4591 Marietta Avenue,Columbia,PA,17512,717-653-8061,Glen Esbenshade,
53,"Heritage Building Group, Inc.",2500 York Road,Jamison,PA,18929,215-491-4800,James DeNave PE,
54,"Eastland Land Development Co., LLC",5193 Paes Road,New Holland,PA,17557,717-354-0042,Richard Ressler,
55,Armstrong World Industries,"Liberty & Charlotte St, PO Box 3001",Lancaster,PA,17604,717-397-0611,"Daniel Evans,John Marks",
56,Randall S. Bricker,665 Walea Place,Honolulu,HI,96817,717-821-6563,Randall S. Bricker,
57,Bernice Knight,18 Hempfield Street,Washington Boro,PA,17582,717-684-5144,"Knight, Jason",
58,Penn Manor School District,PO Box 1001,Millersville,PA,17551,717-872-9500,Denny Coleman,
59,Noll Drive Associates LLC,102 Bank Barn Lane,Lancaster,PA,17602,717-629-2097,Wilbur McMichael,
61,"Kline&#039s Services, Inc.",5 Holland St.,Salunga,PA,17538,717-898-8158,"Barbara Culton, Mike Baird, Dave Kline",
62,"Page, Dave and Cindy",675 Church Street,Landisville,PA,17538,717-687-6302,Dave Page,
63,Donald Boshnaugle,202 Sylvan Retreat Road,Columbia,PA,17512,717-285-5532,Donald Boshnaugle,
64,"Hess, Frank",535 Shultz Road,Washington Boro,PA,17582,717-681-9682,Frank Hess,
65,Gary A. Jung,599 Stonehenge Dr.,Lititz,PA,17543,717-725-5188,Gary Jung,
66,"Heslin, Bigler & Ramsay Partnership",1821 Oregon Pike Suite 204,"Lancaster,",PA,17601,717-291-1644,"Alfia Ramsey, Sam Bigler",
67,David Costello,PO Box 95,East Petersburg,PA,17520,717-560-2170,Dave Costello,
68,Rettew,3020 Columbia Ave,Lancaster,PA,17603,717-394-3721,"Holly Swartz,Andrew Christ",
69,Bob Hilliker,615 Chatham Way,Lititz,PA,17543,315-730-2524,Bob Hilliker,
70,Manheim Pike Group (Blackford Development),120 North Pinte Boulevard,Lancaster,PA,17601,717-519-3904,"Dave Marshka, Wilber McMichael",
71,"Clapton Properties, LP",711 Olde Hickory Rd.,Lancaster,PA,17601,717-569-0484,Vic Kicera,
72,Hershey Mill Manor Associates (Randy Hess),2547 Lititz Pike,Lamcaster,PA,17601,717-299-4885,"Randy Hess, Earl Hess",
73,Landis Estates LLC,2137 Embassy Drive Suite 210,Lancaster,PA,17603,717-390-3080,"Stephen J. Artz, Stephen Black",
75,Robert L. & Joyce G. Allen,5270 Manheim Pk.,East Petersburg,PA,17250,717-569-7371,Robert Allen,
76,Roy Zimmerman,,,PA,,717-626-4860,Roy Zimmerman,
77,N/A,,,PA,,,,
78,Joseph Caretti,309 Farmland Drive,Elizabethtown,PA,17022,,"Joseph Caretti,Salvatore Caretti",
79,Lancaster General Hospital,555 N. Duke St.,Lancaster,PA,17603,717-544-3540,"Joe Donaldson, Joseph Puskar",
80,Hess Home Builders Inc,15 Meadow Ln,Lancaster,PA,17601,717-569-5761,"Earl Hess,Randy Hess",
81,Cibo Pizza and Grille,309 Farmland Drive,Elizabethtown,PA,17022,367-3496,Joseph Caretti,
82,Horst Realty,"205 Granite Run Dr., Ste 280",Lancaster,PA,17601,717-735-6100,Steve Horst,
83,"Newman-Tillman Properties, LLC",850 Ridge Lake Blvd. Ste 340,Memphis,TN,38120,901-818-5510,Jay Tillman,
84,Kabral Partners LP,1125 Lincoln Heights Ave,Ephrata,PA,17522,717-368-3747,Richard Weeber,
85,Cornerstone Develpment Group,200 Bailey Dr. Suite 204,"Stewartstown,",PA,17363,717-840-4780,Dyric Snyder- Meridian Management,
86,The Jay Group,60 North Ronks Rd,Ronks,PA,17572,717-687-8641,H. Douglas Bushong,
87,Treztark II LTD,2137 Embassy Dr Ste 113,Lancaster,PA,17603,717-587-1993,George Kratzert,
88,Jay Group (The),60 North Ronks Road,Ronks,PA,17572,717-687-8641,H. Douglas Bushog,
89,Horst and Son,120 North Pointe Blvd,Lancaster,PA,17601,717-560-9095,Gerald Horst,
90,Hempfield Valley Partnership c/o Charter Homes,1190 Dillerville Rd,Lancastesr,PA,17601,717-560-1400,"Deb Witwer, Robert Bowman,Jamie Brubaker",
91,Dennis D. Herr,"616 Paxton Pl, Ste 100",Lititz,PA,17543,717-560-6540,Dennis D. Herr,
92,Triple H Construction,430 Springville Rd,Ephrata,PA,17522,717-738-2142,,
93,Triple H Construction,430 Springville Road,Ephrata,PA,17522,717-738-2142,,
94,James Pappas,902 Dorsea Rd.,Lancaster,PA,17601,717-898-3279,James Pappas,
95,Merv Miller Builder,540 W. 28th Division Hwy.,Lititz,PA,17543,717-626-5204,Merv Miller,
96,Shepherd Family Ltd Partnership,5 Stayman Dr.,Lancaster,PA,17602,,,
97,L & K Construction Inc.,One Field of Dreams Dr.,Pottsville,PA,17901,570-385-4154,Kevin Fanelli,
98,Wal-Mart Realty Company,2001 SE 10th Street,Bentonville,AR,72712,501-273-8971,Robbie Estes,
99,Church of Jesus Christ of Latter-Day Saints,"50 E North Temple, 22nd Floor",Salt Lake City,UT,84150,484-223-1761,John Forsberg,
100,Pusey and Raffelsberger,15 Southview Lane,Lititz,PA,17543,717-626-2228,David Pusey,
101,Longleaf Corporation,"1821 Oregon Pk., Ste 6",Lancaster,PA,17601,717-581-1641,Greg Bardell,
102,Centerville Associates Ltd,987 Chapel Forge Ct,Lancaster,PA,17601,717-898-7420,Thomas C Kile,
103,E G Stoltzfus Land LLC,474 Mount Sidney Rd,Lancaster,PA,17602,717-393-0212,,
104,Blossom Hill Mennonite Church,333 Delp Road,Lancaster,PA,17601,,,
105,Steve DeGeorge Builder,125 Seitz Road,Columbia,PA,17512,717-285-4140,Steve DeGeorge,
106,David L. Charles,26 Millersville Road,Lancaster,PA,17603,717-299-2100,Dave Charles,
107,Michael Heisey,62 Quaker Hills Rd.,Lancaster,PA,17603,717-872-4182,Michael Heisey,
108,C & F Inc.,50 Wade Dr.,Lititz,PA,17543,717-278-3147,Fabio Pini,
109,"Tobacco Road Associates, LP",PO Box 467,Concordville,PA,19351,610-558-1500,Gary Wilson,
110,Ruby Tuesday,150 W. Church Ave.,Maryville,TN,37801,865-379-5842,,
111,"C & T Properties, LLC",1947 Old Philadelphia Pk.,Lancaster,PA,17602,717-394-8771,Curtis Stumpf,
112,Keystone Real Estate,PO Box 8032,Lancaster,PA,17604,717-203-2891,David Rubenstein,
113,Glenn Broomell,102 Topland Drive,Lancaster,PA,17601,717-892-1447,Glenn Broomell,
114,Imperial Homes & Development Inc.,107 Mellinger Rd.,Wrightsville,PA,17368,717-278-3079,Fred Kay,
115,High Construction Co.,1853 William Penn Way,Lancaster,PA,17601,717-390-4607,Barry Bauer,
116,"Artz Development Co., LLC",394 Buch Ave,Lancaster,PA,17601,717-390-3080,Steve Artz,
117,730 Eden Road Associates LP,1671 Crooked Oak Drive,Lancaster,PA,17601,717-560-8788,,
118,Calvary Church,1051 Landis Valley Rd.,Lancaster,PA,17601,717-560-2341,Carl Colton,
119,Blackford Development Ltd II,"120 North Pointe Blvd., Ste #301",Lancaster,PA,17601,717-519-3916,Richard Ozimek,
120,"D & R Charles Construction, LLC",26 Millersville Road,Lancaster,PA,17603,717-629-0028,"Dave Charles,Charles Hurst",
122,Mariani Development Co  Ltd,8206 Coastal Highway,Ocean City,MD,21842,410-723-2299,A J Mariani Jr,
123,The Huntington Company,1708 Columbia Ave,Lancaster,PA,17603,717-394-9811,A LeRoy Mellinger,
124,Franklin & Marshall College,College Avenue PO Box 3003,Lancaster,PA,17604,717-358-4570,Andrew Welsh,
125,Stobro Co.,PO Box 1500,Lititz,PA,17543,717-626-4771,Jim Stauffer,
126,Kinsley Equities II,RD#1 Box 131-AA,Seven Valleys,PA,17360,7177413841,Tim Kinsley,
127,Autohouse of Lancaster,1373 Manheim Pike,Lancaster,PA,17601,299-2801,Thomas Wanner,
128,"Emich & Ober , LLP",6089 Parkridge Drive,East Petersburg,PA,17520,717-569-2419,Donald Emich,
129,Manheim Township School District,PO Box 5134,Lancaster,PA,17606,717-299-5691,None,
130,A Leroy Mellinger,1708 Columbia Ave,Lancaster,PA,17603,717-394-9811,A Leroy Mellinger,
131,Visions Property Management LTD,1574 Lititz Pike,Lancaster,PA,17601,,Anne M Lusk,
132,T-A-H Construction,480 Running Pump Rd,Lancaster,PA,17601,717-393-9781,Ken Huber,
133,Lancaster Home Builders,1730 Columbia Avenue,Lancaster,PA,17603,717-394-6621,Joe Nadu,
134,Benuel Stoltzfus,950 Eby Chiques Road,Mount Joy,PA,17552,,Bennie Stoltzfus,
135,Buckwalter Enterprises,235 North Duke Street,Lancaster,PA,17602,717-481-7868,,
136,"GN Housing, LLC",2316 Dairy Road,Lancaster,PA,17601,717-898-2292,Barry Newhart,
137,Peifer Bros.,PO Box 550,Elizabethtown,PA,17022,717-653-2521,Jay Peifer,
138,Keystone Kommunities,PO Box 550,Elizabethtown,PA,17022,717-653-2521,Jay R Peifer,
139,"Guy R Eshelman, Trustee",289 Donerville Rd,Lancaster,PA,17603,717-872-7507,Guy Eshelman,
140,Hostetter Construction Corporation,"PO Box 516, 751 Frederick St",Hanover,PA,17331,717-632-5300,,
141,"Brookline Builders, Inc",PO Box 266,Bausman,PA,17504,717-572-3715,Jon Owens,
142,Pete Heth General Contractor Inc,4338 Fairview Rd,Columbia,PA,17512,717-684-9054,Pete Heth,
143,Daryl Herr,"616 Paxton Pl, Ste 100",Lititz,PA,17543,717-560-6540,Daryl Herr,
144,Peter Kleine Company,747 Flory Mill Rd,Lancaster,PA,17601,717-581-0370,Peter Kleine,
145,B&B BUILDERS,590 Centerville Road #332,Lancaster,PA,17601,215-593-9158,John Blank,
146,R L Wile Plumbing,1535 Pinkerton Rd,Mount Joy,PA,17552,717-653-9671,Carol A Wile,
147,Charter Homes & Neighborhoods,1190 Dillerville Rd,Lancaster,PA,17601,717-560-1400,"Jim Shultz,",
148,Homeland Corporation,PO Box 6152,Lancaster,PA,17607,,John Luecker,
149,K & W Tire Inc,735 N Prince St,Lancaster,PA,17603,717-397-3596,Kenneth E Kline,
150,LIFT INC,2969 Old Tree Drive,Lancaster,PA,17603,717-295-1800,"Miichael Scornavacchi, Kirk Sears",
151,Hogan Development Co III,1271 Lititz Pike,Lancaster,PA,17601,717-393-1239,Tom Malinich,
152,Highland Presbyterian Church,1801 Oregon Pike,Lancaster,PA,17601,717-569-2651,,
153,Wetherburn Town Center LP,903 Wheatland Avenue,Lancaster,PA,17603,717-399-9172,Michael O&#039Brien,
154,Eden Rock LLC,2137 Embassy Dr Ste 113,Lancaster,PA,17603,717-299-0721,,
155,Paul & Mary Sauder,924 Silver Spring Rd,Lancaster,PA,17601,717-285-5159,Paul Sauder,
156,City of Lancaster,120 N Duke St,Lancaster,PA,17602,717-291-4739,Charlotte Katzenmoyer,
157,Gehman DBA Milton Grove Investments,1818 Milton Grove Rd,Mount Joy,PA,17552,717-802-1838,Seth and Rosalyn Gehman,
158,High Real Estate Group,1853 William Penn Way PO Box 10006,Lancaster,PA,17605,717-209-4077,Ben Bamford,
159,Christopher Herr,182 Buch Avenue,Lancaster,PA,17601,717-569-6619,Christopher Herr,
160,Brighton Land Company,2130 Marietta Avenue,Lancaster,PA,17602,717-293-0293,Robert Riahi,
161,SME Holdings LP,1730 Columbia Avenue,Lancaster,PA,17603,717-394-6621,Joe Nadu,
162,Montessori Academy,2750 Weaver Road,Lancaster,PA,17601,717-560-0815,,
163,"Horst Ventures 1, L.P.",205 Granite Run Drive,Lancaster,PA,17601,717-735-6161,Steve Horst,
164,Lexington Land Development Corp,336 W King St,Lancaster,PA,17603,717-291-4553,William Bashore,
165,George Syder,216 Ironstone Ridge Rd,Lancaster,PA,17603,717-872-4758,George Syder,
166,David Kline,2547 Ironville Pk,Columbia,PA,17512,717-898-8158,David Kline,
167,Mennonite Home,1520 Harrisburg Pike,Lancaster,PA,17601,,Nelson Kling,
168,JPM Petersheim LLC,400 N Cedar St,Lititz,PA,17543,717-626-0544,Mark Will,
169,York Sherwood Associates LP,500 Centerville Rd,Lancaster,PA,17603,,,
170,Hafer Environmental Services Inc,PO Box 4418,Reading,PA,19606,610-376-9738,Michael A Bingaman,
171,Ketterline Inc,3121A Mount Joy Rd,Mount Joy,PA,17552,717-653-6655,Robert D Kettering,
172,Papetti Holding Co,PO Box 516,Elizabeth,NJ,7201,908-527-1900,Stephen Papetti,
173,Paul M. Brown,55 N Water St,Lititz,PA,17543,717-626-5684,Paul M. Brown,
